nohup: ignoring input
selected 9000 boundary docs (uncertainty range 0.0000..0.0200)
  100/9000 calls, 10 docs changed
  200/9000 calls, 23 docs changed
  300/9000 calls, 30 docs changed
  400/9000 calls, 36 docs changed
  500/9000 calls, 41 docs changed
  600/9000 calls, 47 docs changed
  700/9000 calls, 53 docs changed
  800/9000 calls, 61 docs changed
  900/9000 calls, 64 docs changed
  1000/9000 calls, 70 docs changed
  1100/9000 calls, 161 docs changed
  1200/9000 calls, 257 docs changed
  1300/9000 calls, 346 docs changed
  1400/9000 calls, 439 docs changed
  1500/9000 calls, 536 docs changed
  1600/9000 calls, 632 docs changed
  1700/9000 calls, 725 docs changed
  1800/9000 calls, 818 docs changed
  1900/9000 calls, 910 docs changed
  2000/9000 calls, 1001 docs changed
  2100/9000 calls, 1099 docs changed
  2200/9000 calls, 1195 docs changed
  2300/9000 calls, 1286 docs changed
  2400/9000 calls, 1381 docs changed
  2500/9000 calls, 1471 docs changed
  2600/9000 calls, 1563 docs changed
  2700/9000 calls, 1653 docs changed
  2800/9000 calls, 1746 docs changed
  2900/9000 calls, 1840 docs changed
  3000/9000 calls, 1938 docs changed
  3100/9000 calls, 2029 docs changed
  3200/9000 calls, 2124 docs changed
  3300/9000 calls, 2215 docs changed
  3400/9000 calls, 2310 docs changed
  3500/9000 calls, 2404 docs changed
  3600/9000 calls, 2500 docs changed
  3700/9000 calls, 2590 docs changed
  3800/9000 calls, 2679 docs changed
  3900/9000 calls, 2772 docs changed
  4000/9000 calls, 2865 docs changed
  4100/9000 calls, 2955 docs changed
  4200/9000 calls, 3049 docs changed
  4300/9000 calls, 3144 docs changed
  4400/9000 calls, 3238 docs changed
  4500/9000 calls, 3330 docs changed
  4600/9000 calls, 3421 docs changed
  4700/9000 calls, 3510 docs changed
  4800/9000 calls, 3601 docs changed
  4900/9000 calls, 3696 docs changed
  5000/9000 calls, 3791 docs changed
  5100/9000 calls, 3881 docs changed
  5200/9000 calls, 3969 docs changed
  5300/9000 calls, 4062 docs changed
  5400/9000 calls, 4153 docs changed
  5500/9000 calls, 4246 docs changed
  5600/9000 calls, 4341 docs changed
  5700/9000 calls, 4435 docs changed
  5800/9000 calls, 4525 docs changed
  5900/9000 calls, 4619 docs changed
  6000/9000 calls, 4712 docs changed
  6100/9000 calls, 4806 docs changed
  6200/9000 calls, 4897 docs changed
  6300/9000 calls, 4990 docs changed
  6400/9000 calls, 5083 docs changed
  6500/9000 calls, 5181 docs changed
  6600/9000 calls, 5273 docs changed
  6700/9000 calls, 5365 docs changed
  6800/9000 calls, 5456 docs changed
  6900/9000 calls, 5550 docs changed
  7000/9000 calls, 5636 docs changed
  7100/9000 calls, 5730 docs changed
  7200/9000 calls, 5829 docs changed
  7300/9000 calls, 5921 docs changed
  7400/9000 calls, 6013 docs changed
  7500/9000 calls, 6107 docs changed
  7600/9000 calls, 6199 docs changed
  7700/9000 calls, 6290 docs changed
  7800/9000 calls, 6377 docs changed
  7900/9000 calls, 6472 docs changed
  8000/9000 calls, 6567 docs changed
  8100/9000 calls, 6658 docs changed
  8200/9000 calls, 6749 docs changed
  8300/9000 calls, 6840 docs changed
  8400/9000 calls, 6935 docs changed
  8500/9000 calls, 7025 docs changed
  8600/9000 calls, 7116 docs changed
  8700/9000 calls, 7210 docs changed
  8800/9000 calls, 7302 docs changed
  8900/9000 calls, 7395 docs changed
  9000/9000 calls, 7486 docs changed
done: 9000 calls, 7486 docs modified -> results/core_classes_train_llm.json
